plant.name,plant.phenotypes.height,model.name,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.number,model.nozzles.type,model.nozzles.number,model.positioning_mode,model.swath_width.min,model.swath_width.max,model.water_pump.type,experiment.name,experiment.weather.temperature,experiment.weather.humidity,experiment.weather.velocity,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.flow_rate,experiment.results.coverage.value,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.CV
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T1,13.9,32.9,2.1,2.5,3.5,15.0,1.575,4.5,45.3,323.0,10.1
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T1,13.689,31.954,2.034,2.498,3.474,15.0,1.575,4.544,46.006,317.815,9.939
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T1,14.048,34.098,2.069,2.56,3.63,15.0,1.575,4.595,45.608,321.617,10.261
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T1,14.158,32.374,2.182,2.563,3.727,15.0,1.575,4.399,45.387,320.365,9.984
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T1,13.68,33.435,2.002,2.466,3.685,15.0,1.575,4.474,44.953,316.642,10.08
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T2,13.6,31.0,3.0,2.5,4.5,15.0,2.025,5.5,47.3,307.0,11.3
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T2,13.337,31.734,3.055,2.511,4.267,15.0,2.025,5.494,47.73,306.144,11.305
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T2,13.193,31.954,2.897,2.4,4.407,15.0,2.025,5.432,47.159,303.182,11.331
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T2,13.968,30.359,3.157,2.494,4.618,15.0,2.025,5.633,47.601,307.399,11.093
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T2,13.693,31.625,3.163,2.594,4.674,15.0,2.025,5.541,47.972,310.625,11.211
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T3,14.1,46.7,3.4,2.5,5.5,15.0,2.475,3.2,28.8,360.0,9.1
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T3,14.21,47.657,3.502,2.585,5.705,15.0,2.475,3.252,29.011,360.766,9.077
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T3,13.928,45.97,3.572,2.5,5.047,15.0,2.475,3.258,29.319,361.116,9.009
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T3,13.82,46.128,3.281,2.684,5.159,15.0,2.475,3.166,28.612,353.46,8.968
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T3,14.035,47.184,3.49,2.434,5.518,15.0,2.475,3.202,28.816,363.344,9.208
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T4,13.9,32.9,5.2,2.5,4.5,11.7,1.575,2.3,51.2,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T4,14.04,31.602,5.408,2.517,4.098,11.7,1.575,2.323,51.298,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T4,14.26,32.893,5.036,2.622,4.549,11.7,1.575,2.324,51.511,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T4,13.9,33.675,4.849,2.445,4.523,11.7,1.575,2.276,50.867,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T4,13.55,31.951,5.339,2.537,4.665,11.7,1.575,2.303,50.77,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T5,13.6,31.0,3.0,2.5,4.5,15.0,2.025,5.5,49.7,,
wheat,0.05,AGRAS T20,1.1,0.57,0.732,20,6,XR110015,8,GNSS RTK,5,5,diaphragm pump,T5,13.317,30.251,3.228,2.613,4.159,15.0,2.025,5.479,50.042,,
