plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV,plant.phenotypes.height,model.positioning_mode,experiment.params.flow_rate,plant.genotype,plant.phenotypes.plagiotropic_node_number,plant.phenotypes.plagiotropic_node_distance,plant.phenotypes.orthotropic_branch_length,plant.phenotypes.orthotropic_branch_node_number,plant.phenotypes.diameter,plant.phenotypes.leaf_area
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,2.0,7.0,30.0,off,3.1,3.6,39.7,223.9,226.3,10.4,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.853,30.273,47.035,73.869,0.193,1.682,1.926,7.245,30.99,off,3.071,3.567,39.723,221.977,223.357,10.29,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.576,31.612,47.101,71.277,0.213,1.54,1.927,7.4,31.603,off,3.132,3.569,39.928,223.152,225.597,10.367,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.444,30.642,48.994,70.165,0.194,1.513,1.971,7.431,28.912,off,3.063,3.543,39.761,220.497,228.554,10.488,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.57,30.351,46.459,70.476,0.2,1.598,2.135,7.137,31.542,off,3.135,3.679,38.899,227.634,227.634,10.419,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.462,31.291,47.565,72.936,0.215,1.672,2.086,6.478,28.784,off,3.128,3.553,39.659,223.835,224.33,10.382,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.728,31.576,46.65,70.641,0.199,1.628,1.968,6.796,30.931,off,3.091,3.643,40.625,225.293,225.293,10.207,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.676,31.471,46.694,70.583,0.189,1.646,1.953,7.226,28.715,off,3.147,3.598,39.632,221.595,222.895,10.511,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.179,31.227,49.701,72.154,0.21,1.661,2.044,7.117,30.54,off,3.078,3.587,39.085,221.293,224.355,10.585,,,,,,,,,,
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.072,31.172,47.316,70.412,0.195,1.586,1.928,7.299,27.975,off,3.084,3.611,39.695,222.136,228.875,10.4,,,,,,,,,,
