experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV,model.tank_volume,model.rotors.number,model.nozzles.number,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,plant.name_coffee,plant.name_tea,plant.name_wheat,model.name_AGRAS T20,model.name_AGRAS T30,model.name_AGRAS T40,model.name_JT5L-404,model.nozzles.type_LX8060SZ,model.nozzles.type_SX11001VS,model.nozzles.type_XR110015,model.nozzles.type_full cone,experiment.params.atomization_diameter_coarse,experiment.params.atomization_diameter_fine,experiment.params.atomization_diameter_medium,experiment.params.atomization_diameter_off
-1.4818526847700533,-1.7617919658384242,-0.20946516812708732,-1.4475257437337399,-1.4982370118025334,-0.3518167253080588,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.3682608463100289,0.553470182139385,0.1870520452916855,0.37517850731658187,-0.5579597387138375,-0.7004361096955399,-1.084234561796909,3.396867237455724,-0.5298105898568578,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4914944322969765,-1.771407448562631,-0.20763558778782637,-1.4794124540301854,-1.5433128276531083,-0.3834331652036671,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.3317884973857939,0.44813225534733264,0.0579053767453896,0.4857683148702785,-0.5635549799386861,-0.5926925910597882,-1.1551593753307685,3.6545047887356974,-0.5080074561887392,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4712135150851724,-1.7708246920338913,-0.19132845867701984,-1.4599288946966842,-1.5090043575527727,-0.361301657276741,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.2630616902292413,0.6421453007043587,0.0667382058894889,0.3323981804779931,-0.5475685764391185,-0.7792728306485291,-1.1542009319046351,3.8174999742393543,-0.49450713200837887,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4941542247181965,-1.778400526907509,-0.20461280287948141,-1.503953447914085,-1.4637141137640712,-0.3265235733915727,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.47842222673424983,0.5015981356585669,0.3200798054316002,0.2666004993652536,-0.5627556597637078,-0.8147493550773744,-1.1120294211547728,3.8500990113400855,-0.5537720135244467,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4702160929272148,-1.738773082953201,-0.2731822921161418,-1.3856094794347662,-1.4778050925552806,-0.34635570387154463,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.2615730229262112,0.4594339861448292,-0.019181132148564116,0.28500254866926583,-0.5579597387138375,-0.7030640003939729,-0.9548446992689221,3.5409339498041166,-0.4958505574162124,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4725434112957825,-1.7754867442638098,-0.21272659394924895,-1.4486035576543166,-1.5284100859532748,-0.35699032456370394,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.2347770114716708,0.5956343316531227,0.12883567138739657,0.43056216695824095,-0.5459699360891618,-0.605832044551953,-1.0018084271494507,2.847941515953086,-0.5565910045441631,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.484844951243926,-1.749262700470518,-0.13588421970027692,-1.4244273623281505,-1.5136605070663898,-0.4072892062158072,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.5488858124110045,0.6369291172593605,0.00638054007147924,0.2947656937984047,-0.5587590588888158,-0.6636456399174785,-1.1149047514331725,3.1823445416960725,-0.5093068348618897,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4662264042953843,-1.762374722367164,-0.21487436217359918,-1.4857466835326516,-1.5503889496113021,-0.31991286323158197,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.535984029118077,0.621715248878115,0.012269092834212424,0.29133380035907075,-0.5667522606385996,-0.6399946236315818,-1.129281402825171,3.6345247337384747,-0.5581106168907289,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4891671139284088,-1.765579883275233,-0.2583865554595075,-1.4907543728251769,-1.5280271789209054,-0.29864362184726345,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.4126727541837573,0.5863611166397921,0.4146981418691453,0.38429077610377765,-0.5499665369640537,-0.6202854433933342,-1.0420630510470463,3.519902312964936,-0.5179179714924295,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.4871722696124938,-1.7585868049303548,-0.20986290298344865,-1.4767759553629287,-1.4587975874684427,-0.3518167253080588,0.3183265449658235,-0.7071067811865478,1.6410610523770197,0.3861248539463889,0.5783919474877112,0.09551181598011477,0.28121563177069125,-0.5619563395887294,-0.7188313445845708,-1.153242488478502,3.711290208201488,-0.574407908723464,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
