plant.name, plant.cultivar, model.name, model.weight, model.dimensions.length, model.dimensions.width, model.dimensions.height, model.tank_volume, model.rotors.power, model.rotors.number, model.nozzles.type, model.nozzles.number, model.particle_diameter.min, model.particle_diameter.max, model.swath_width.min, model.swath_width.max, model.water_pump.type, model.water_pump.flow_rate, model.water_pump.number, experiment.name, experiment.weather.temperature.min, experiment.weather.temperature.max,experiment.weather.humidity.min, experiment.weather.humidity.max, experiment.weather.velocity.min, experiment.weather.velocity.max, experiment.params.WH, experiment.params.DS, experiment.params.SV, experiment.params.AD, experiment.results.coverage.value, experiment.results.coverage.max, experiment.results.coverage.CV, experiment.results.droplet_size.value, experiment.results.droplet_size.max, experiment.results.droplet_size.CV
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H1-S2-V1, 23, 31, 48, 72, 0.2, 1.6, 2, 7, 30,, 3.1, 3.6, 39.7, 223.9, 226.3, 10.4
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H1-S1-V1, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 30,, 4.3, 4.5, 65.0, 251.1, 252.9, 12.0
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H2-S1-V1, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 30,, 3.5, 4.2, 48.4, 237.2, 248.1, 9.6
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H3-S1-V1, 23, 31, 48, 72, 0.2, 1.6, 5, 3, 30,, 4.1, 4.4, 50.5, 240.2, 248.1, 8.9
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H1-S1-V2, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 60,, 8.2, 8.9, 58.1, 274.1, 280.1, 14.9
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H2-S1-V2, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 60,, 7.2, 8.7, 61.0, 266.8, 273.5, 12.6
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H3-S1-V2, 23, 31, 48, 72, 0.2, 1.6, 5, 3, 60,, 7.1, 8.1, 48.1, 262.6, 269.2, 9.9
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H1-S1-V3, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 90,, 12.9, 15.2, 39.1, 277.1, 293.4, 14.9
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H2-S1-V3, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 90,, 12.2, 14.3, 34.5, 272.9, 292.8, 10.6
tea, Camellia sinensis, DJI T30, 36.5, 2.9, 2.7, 0.8, 30, 3600, 6, SX11001VS, 16, 130, 250, 4, 9, plunger pump, 4, 1, H3-S1-V3, 23, 31, 48, 72, 0.2, 1.6, 5, 3, 90,, 11.0, 12.2, 33.6, 266.8, 274.7, 13.6
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H1-S1-V1-D2, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 60, medium, 5.2, 6.6, 67.6, 220.4, 228.5, 13.9
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H2-S1-V1-D2, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 60, medium, 5.7, 6.1, 63.2, 220.4, 223.8, 14.6
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H3-S1-V1-D2, 23, 31, 48, 72, 0.2, 1.6, 5, 3, 60, medium, 6.2, 6.9, 43.5, 216.9, 223.8, 11.6
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H1-S1-V2-D2, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 105, medium, 10.9, 11.3, 40.6, 354.2, 363.5, 13.7
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H2-S1-V2-D2, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 105, medium, 10.7, 11.1, 43.7, 321.9, 332.3, 13.0
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H3-S1-V2-D2, 23, 31, 48, 72, 0.2, 1.6, 5, 3, 105, medium, 10.5, 11.9, 32.8, 303.5, 312.7, 11.6
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H1-S1-V3-D2, 23, 31, 48, 72, 0.2, 1.6, 2, 3, 150, medium, 12.8, 14.0, 55.4, 448.8, 451.2, 13.9
tea, Camellia sinensis, DJI T40, 50, 2.8, 3.2, 0.8, 40, 3600, 8, LX8060SZ, 2, 50, 300, 11, 11, magnetic drive impeller pump, 6, 2, H2-S1-V3-D2, 23, 31, 48, 72, 0.2, 1.6, 3.5, 3, 150, medium, 12.7, 13.7, 52.8, 409.6, 424.6, 18.3
